Class,Review,Review
2,"Just finished up SQUID GAME, the Korean TV show that's become a global smash hit on Netflix. It's truly brilliant and even better than the similar Japanese show ALICE IN BORDERLAND! The show is centred around contestants competing in children's games for a cash prize, but the twist is that they get killed if they lose. Shades of SAW and THE HUNGER GAMES here, but this is rivalled only by BATTLE ROYALE in terms of sheer quality. As usual for Korea, the writing, acting, and direction are all superb and the games themselves are hugely suspenseful, unlike anything I've seen before. Definitely horrifying enough both in premise and in terms of violent bloodshed to count as horror too.
 
  
 
  
 
  67 out of 144 found this helpful.
 
  
 
  Was this review helpful? Sign in to vote.
 
  
 
  
 
  Permalink","I just finished the Squid game, the Korean television show which has become a worldwide success on Netflix. It's really brilliant and even better than the similar Japanese show Alice in Borderland! The show is focused on competitors who participate in children's games for a cash price, but the torsion is that they are killed if they lose. Shades of Saw and the Hunger Games here, but it is only competed by Battle Royale in terms of pure quality. As usual for Korea, writing, theater and management are all superb and the games themselves are extremely suspected, unlike all that I have seen before. Certainly quite horrible both in the premise and in terms of violent blood effusion to also count as horror.
 
  
 
  
 
  67 out of 144 found this useful.
 
  
 
  Was this review useful? Connect to vote.
 
  
 
  
 
  Permalian"
2,"Well multiple games actually, but even that you may find ... not accurate. Now you may not look the same way at some games that are being played here. But with all the buzz right now, you've probably heard quite a bit about that already.If like you got into this without any spoilers (congrats by the way), then the show will be able to surprise quite a few times. Be it by the players themselves but also and even more so by how the story evolves. It may not end exactly how I would imagine ... but that can also be seen as a good thing I reckon.As a fan of Korean cinema I was curious about this anyway. And it did not dissapoint - at all. The acting is amazing, the effects are great ... and the story is as mature as it can get. With enough social commentary and critique to make this a great watch!
 
  
 
  34 out of 61 found this helpful.
 
  
 
  Was this review helpful? Sign in to vote.
 
  
 
  
 
  Permalink","Well, several games actually, but even so that you can find ... not precise. Now you may not watch the same thing for some games that are played here. But with all the buzz at the moment, you have probably heard a little about it. If you have entered this without any spoilers (congratulations by the way), the show may surprise several times. Whether by the players themselves but also and even more by the way history evolves. It may not finish exactly how I imagine ... but it can also be considered a good thing that I think. As a fan of Korean cinema, I was curious anyway. And he hasn't disappointed at all. The game is incredible, the effects are great ... and the story is as mature as possible. With enough social comments and criticism to make a good watch!
 
  
 
  34 out of 61 found this useful.
 
  
 
  Was this review useful? Connect to vote.
 
  
 
  
 
  Permalian"
2,"This runaway hit from South Korea is centred on Seong Gi-hun, a heavily indebted man who is invited to take part in a series of six games that if he wins will solve his problems. He accepts gets into a vehicle where a gas puts him to sleep. When he wakes he is in a large facility with over four hundred other people; they are watched over by masked armed guards. Here they are told the rules, one of which states that if a majority of players want to quit the game will end but they will not get any prize money. As they play the first game, the school yard game 'red light green light' they quickly learn that being eliminated is quite literal with losers being shot on the spot! Over the course of the series Gi-hun gets to know various other contestants; some he befriends and forms a team with for certain games; others are quickly identified as a danger. As the games continue more and more people are eliminated. While this is going on a policeman, looking for his missing brother, has found his way to the facility and, having taken the place of a guard, it trying to uncover what happened to his brother and who is behind the activities there.When I saw this recommended on Netflix I thought I'd watch it sometime but was in no great rush as I assumed to would be a Korean 'Alice in Borderland'. After hearing talk of its popularity I thought perhaps I should watch it sooner. I'm glad that I did. I really liked 'Alice in Borderland' but this is so much better, and while there are some similarities there are very important differences. There is a real sense of danger from the moment the first game begins; the fact that the contestants are playing playground games rather than deviously clever made up games make it feel strangely more real. The games are nicely varied; requiring skill, strength and sometimes just luck. The characters are the series real strength; they are varied and the way they are introduced means that the viewer grows to really care about them, especially as we learn certain players motivation for playing such a deadly game. The programme's design is impressive; I especially liked the masked look of those running the game facility. The cast does a really fine job bringing their characters to life and the sets and effects are impressive. Overall I'd definitely recommend this... watch it before you learn too much about what happens.These comments are based on watching the series in Korean with English subtitles.
 
  
 
  
 
  21 out of 54 found this helpful.
 
  
 
  Was this review helpful? Sign in to vote.
 
  
 
  
 
  Permalink","This South Korea flight is centered on Seong Gi-Hun, a very indebted man who is invited to participate in a series of six games which if he wins will solve his problems. He accepts that he is putting himself in a vehicle where a gas falls asleep. When he wakes up, he is in a large installation with more than four hundred other people; They are watched by masked armed guards. Here, they are told the rules, one of which indicates that if the majority of players want to leave the game will end but that they will not get any money in money. As they play the first game, the game of the Red Red Red School Court '', they quickly learn that being eliminated is quite literal with losers turned on the spot! During the series, Gi-Hun gets to know various other competitors; Some people are friends with and formed a team with certain matches; Others are quickly identified as a danger. As games continue more and more people are eliminated. While this takes place on a police officer, in search of his missing brother, found his way to the establishment and, after taking the place of a guard, he tried to discover what happened to his brother and who is behind the activities there. When I saw this recommended on Netflix, I thought I would look at it one day, but I was not in great precipitation because I supposed to be a Korean ""Alice at Borderland"". After hearing about its popularity, I thought I might might look at it earlier. I'm happy to have done it. I really liked ""Alice in Borderland"", but it's so much better, and although there are similarities, there are very important differences. There is a real feeling of danger from the start of the first game; The fact that competitors play game games rather than smarter games, which makes it strangely more real. The games are well varied; requiring skills, strength and sometimes just luck. The characters are the real series of the series; They are varied and the way they are introduced means that the spectator really cares about them, especially since we learn the motivation of certain players to play such a deadly game. The program design is impressive; I particularly liked the masked look of those who direct the installation of the game. The casting makes a very good job giving life to their characters and the sets and the effects are impressive. Overall, I would certainly recommend that ... Look at it before I learn too much about what's going on. These comments are based on the search for the series in Korean with English subtitles.
 
  
 
  
 
  21 out of 54 found this useful.
 
  
 
  Was this review useful? Connect to vote.
 
  
 
  
 
  Permalian"
1,"I went into this show knowing absolutely nothing about it other than being a korean series. And yet i found it annoyingly predictable with almost nothing surprising me. Maybe i've just seen too many movies, but i've seen this all before. And i think what a lot of ppl like about this show is the norm in korean cinema. But most casuals have never watched a korean movie (if so, you're missing out, only thing that comes close to hollywood-level quality)i mentioned it in my title, but if you loved this series and are shocked by my low rating, please please please watch oldboy (not the american remake). It's superior in every way imaginable and an amazing movieoverall, this was an okay show. I was really into it at first, but it seemed to decline after the halfway point. By the end, i was feeling minimal impact from the big moments, and during the last episode i just wanted it to finish. There's a lot of good here, but many negatives as well. See below.Things that bothered me (without spoilers)-a scene that could have been really cool but they full-on strobe lighted it so you couldn't see anything-a ridiculously annoying female character (the older one), biggest offense is the eye-rolling bathroom scene-some really questionable decisions, some to the point of angering me-characters asking moronic questions or being outraged at things that they can't possibly still be outraged aboutthe games start out creative with skill, talent and strategy involved, but become random and filled with luck-the laughable acting and dialogue for all of the english scenes. This is the norm for asian cinema, but that doesn't mean it can always be forgiven. It was AWFUL. Can't they hire any experienced american actor? Or an english dialogue correspondent?-i like when a movie is the right kind of weird, the kind that makes it feel unique and adds character. But a lot of the weird in this show seemed to be there solely for the sake of being weird.-there were SO many times where i knew exactly what was going to happen next.","I entered this show by knowing absolutely nothing other than being a Korean series. And yet, I found it predictablely with almost nothing surprising. Maybe I just saw too many films, but I have already seen it. And I think a lot of people in this show is the norm in Korean cinema. But most occasional have never watched a Korean film (if so, you miss, the only thing that is close to the quality of Hollywood level), I mentioned it in my title, but if You loved this series and that you are shocked by my weak note, please please watch Oldboy (not the American remake). It's superior in any imaginable ways and an incredible cinema, it was a good show. I was really in it at first, but it seemed to be declining after halfway. At the end, I felt a minimum impact of the great moments, and during the last episode, I just wanted him to finish. There are a lot of good here, but also many negatives. See below. The things that disturbed me (without spoilers) - a scene that could have been really cool, but they turned it over so that you couldn't see anything - a ridiculously boring female character (the old), the biggest Infraction is the scene of the excessive bathroom bathroom, some really doubtful decisions, some to the point of angry with the characters asked moronic questions or to be indignant by things that they cannot yet be indignant by The games start creative with competence, talent and strategy involved, but become random and full of luck - laughable game and dialogue for all English scenes. This is the standard for Asian cinema, but it does not mean that it can always be forgiven. It was horrible. Can't they hire an experienced American actor? Or an English dialogue correspondent? -I like when a film is the good kind of bizarre, the genre that makes it unique and adds character. But a large part of the strange in this show seemed to be there only to be weird. - There were so many times when I knew exactly what was going to happen next."
2,"I honestly don't know wtf the main character needed to go into the room where the old man was, dye his hair red and not attempting to board the plane. At the beginning I was having expectations that it would be thrillingly good which it was but the ending just didn't do it for me chief....
 
  
 
  
 
  188 out of 228 found this helpful.
 
  
 
  Was this review helpful? Sign in to vote.
 
  
 
  
 
  Permalink","Honestly, I don't know that the main character had to enter the room where the old man was, dye red hair and not try to get on the plane. At first, I expected it to be extremely good, but the end did not do it for me chief ...
 
  
 
  
 
  188 out of 228 found it useful.
 
  
 
  Was this review useful? Connect to vote.
 
  
 
  
 
  Permalian"
2,"I loved it but three last episodes killed the vibe.
 
  
 
  179 out of 271 found this helpful.
 
  
 
  Was this review helpful? Sign in to vote.
 
  
 
  
 
  Permalink","I loved it but three last episodes killed the atmosphere.
 
  
 
  179 out of 271 found this useful.
 
  
 
  Was this review useful? Connect to vote.
 
  
 
  
 
  Permalian"
0,"Haha! I don't know if it's Korea, trolls, fanboys, sheep or IMDb. Now I have 5 reviews gone. A pointless review has become a threat to humanity, it seems. Haha! The next Netflix show should be about a review that triggers people. If Squid Game can sale this movie would sell too.I don't know what to write anymore. Okay. I'll lie. It's the American thing to do, and that is lie. Everyone loves a lie that sounds nice.10 = 100This show was so good because it was boring, and I felt stupid watching it. The voice work felt so natural. I liked how Tarzan Cameo'd and saved the people in the end. Believe the hype. I hope there will be a season 2 of this great show.The show is about a bunch of people dying, and it made me feel happy and smarted up. Squid Game was very entertaining.Last Words: Squid Game rules!!
 
  
 
  
 
  2 out of 20 found this helpful.
 
  
 
  Was this review helpful? Sign in to vote.
 
  
 
  
 
  Permalink","Haha! I don't know if it's Korea, trolls, fanboys, sheep or IMDB. Now I have 5 opinions. An unnecessary examination has become a threat to humanity, it seems. Haha! The next Netflix show should concern a review that triggers people. If Squid Game can sell this film would also sell. I don't know what to write anymore. OK. I'm going to lie. It's the American thing to do, and it's a lie. Everyone loves a lie that sounds well. 10 = 100 this show was so good because it was boring, and I felt stupid to watch it. The work of the voice was so natural. I liked how Tarzan hid and saved people at the end. Believe media threshing. I hope there will be a season 2 of this major show. The Squid game was very entertaining.
 
  
 
  
 
  2 out of 20 found this useful.
 
  
 
  Was this review useful? Connect to vote.
 
  
 
  
 
  Permalian"
2,"Ep1 wonderful drama that we love, protagonist of dubious character, we didn't even root for him, but I loved his rambunctious behavior, Chips 1, 2, 3, bizarre in the way we love... T2 more drama than blood, we love it too... Ep4 Loving the jokes of macabre and bloodthirsty children, catching love for the characters, and hatred for the villains...
 
 Ep 6 the construction of the characters was perfect, the games give a sarcastic and sadistic tone, however the dialogues are the high point, with that black humor that the Koreans do so well, the conversations between the characters are intelligent, with a quick script, everything very captivating and mesmerizing, the players and the undercover cop, showing the other side of the game... Lovely..
 
 Ep 6 And the marbles game brought me a few tears, this was the game where the most innocent characters die, like the Pakistani who just wanted money to help his family who stayed there, his naivety and trust cost him his life , and the girl who killed the father who will kill her mother, and who has just got out of prison, and in the end gives up the game for her partner, perfect scenarios...
 
 I finished Round 6, completely in love, I already loved Korean movies, it just came to reaffirm their competence, perfect, everything perfect, I loved the dialogues, super mesmerizing script, the perfect effects, everything great in this production, I even cried... Beautiful, beautiful... But I saw many truths there, in real life it would be more or less like this...
 
  
 
  
 
  8 out of 41 found this helpful.
 
  
 
  Was this review helpful? Sign in to vote.
 
  
 
  
 
  Permalink","EP1 Wonderful drama that we love, protagonist of doubtful character, we did not even root ourselves for him, but I loved his exuberant behavior, chips 1, 2, 3, bizarre in the way we love ... t2 plus Drama as blood, we love it too ... EP4 loving the jokes of macabre and bloodthirsty children, catching love for the characters and hatred for the bad guys ...
 
 EP 6 The construction of the characters was perfect, the games give a sarcastic and sadistic tone, but the dialogues are the highest point, with this black humor that the Koreans do so well, the conversations between the characters are intelligent, with a quick script, Everything is very captivating and fascinating, the players and the infiltrated cop, showing the other side of the game ... Charming ..
 
 EP 6 and the game of Marts brought me a few tears, it was the game where the most innocent characters die, like the Pakistanis who just wanted money to help his family who stayed there, his naivety and his Confidence cost her his life, and the girl who killed the father who will kill his mother and who has just come out of prison, and at the end abandons the game for his partner, perfect scenarios ...
 
 I finished the round 6, completely in love, I already liked Korean films, it has just reaffirmed their skill, perfect, all perfect, I loved the dialogues, a super fascinating script, the perfect effects, all Who is great in this production, I even cried ... beautiful, beautiful ... but I saw a lot of truths there, in real life, it would be more or less like that ...
 
  
 
  
 
  8 out of 41 found this useful.
 
  
 
  Was this review useful? Connect to vote.
 
  
 
  
 
  Permalian"
2,"A great concept here as desperate people with financial problems compete for a huge sum of money(apparently $38 mil American). They must play games against one another with a severe penalty for losing. Like the Sopranos, with some of the episodes better than others. Number six was the best for me. The sets are Wes Anderson like, with bright colors filling the screen. The lead actors are excellent and the scripts very well written. The violence is over the top with no comic relief in sight. The final episode was a bit of a letdown but overall I was highly entertained.
 
  
 
  2 out of 2 found this helpful.
 
  
 
  Was this review helpful? Sign in to vote.
 
  
 
  
 
  Permalink","An excellent concept here as desperate people with financial problems competes for a huge sum of money (apparently 38 American millet). They have to play matches against each other with a severe penalty for losing. Like sopranos, with some of the episodes better than others. The number six was the best for me. The sets look like Wes Anderson, with bright colors filling the screen. The main actors are excellent and the scripts are very well written. Violence is exaggerated without comic relief in sight. The last episode was a bit of a disappointment, but overall, I was very entertained.
 
  
 
  2 out of 2 found this useful.
 
  
 
  Was this review useful? Connect to vote.
 
  
 
  
 
  Permalian"
2,"So Squid Game has taken over the world these last few weeks and I thought that I had to watch it and I have now finished it and here is my review for it. The premise of the show sees a large group of down on there luck Koreans assembled to play childhood games with a deadly twist for a huge cash prize.Main Character
 
 Lee Jung-Jae plays the lead character Gi-Han on the show and he is fantastic. At first he seems like this arrogant lowlife, but as you get to know him you see that he has just been really unfortunate and made some poor decisions. As he faces the games his character really starts to grow and he becomes an interesting protagonist and one you can support.Supporting Characters
 
 There is a huge cast of people in this show and everybody acts there role really well. Oh Yeong-su really stands out as an old man involved with the game and the relationship between him and Lee Jung-Jae is superb and I really grew to care about this dynamic and for me they were the best characters on the show. There are so many other amazing characters that I think you just need to watch the show and experience them for yourself and the great writing that is done for each person.Story
 
 The story is fascinating, seeing these different personalities forced into these games causes natural conflict and tension. The different games are really great in there own unique ways and do a really brilliant job of pacing them out really well. The only issue I had was a big twist that happens towards the end of the show, it just didn't work for me and I think it could have been handled better. Also there are these English speaking VIP's and they are really bad and took me out of the show for sure.Script
 
 The script is fantastic, and that is if you watch it in Korean with subtitles. For the love of everything holy don't watch it with English dubbing, it is bad and it is nowhere near as effective and feels unnatural for the performances. There is some nice humour and the drama is ramped up ten fold, the chemistry between the performers is really good and drives you to keep watching.Style
 
 The show is really brutal, the violence is graphic but feels appropriate for the show as a whole. It is shot beautifully and feels epic in scale. The pacing is effective and you will want to binge this show for sure with each episode feeling different and great in there own way.Overall
 
 Overall, Squid Game is a truly fantastic show that was so close to getting my 10/10 score. It is a must watch and don't let the language barrier turn you off and get started with it as soon as possible.","So Squid Game has taken over the world in recent weeks and I thought I had to watch it and I finished it and here is my review for that. The premise of the show sees a large Down group on Luck Luck Co in Koreans to play childhood with a deadly turn for a huge cash price.
 
 Lee Jung-Jae plays the main Gi-Han character in the series and he is fantastic. At first, he looks like this arrogant lowlife, but as you know, you see that he was just really unhappy and made bad decisions. As he faces the games, his character really starts to grow and he becomes an interesting protagonist and that you can support.
 
 There is a huge distribution of people in this show and everyone acts very well. Oh Yeong-Su really stands out as an old man involved in the game and the relationship between him and Lee Jung-Jae is superb and I really grew up to worry about this dynamic and for me, they were the best characters in the series. There are so many other incredible characters that I think you just need to watch the show and experience them for yourself and the super writing that is made for each person.
 
 The story is fascinating, seeing these different forced personalities in these games causes natural conflicts and tensions. The different games are really great in its own unique ways and really do a really brilliant job to reappear them very well. The only problem I had was a great turn that occurs towards the end of the show, it simply did not work for me and I think it could have been better managed. There are also these VIPs in English and they are really bad and brought me out of the show for sure.
 
 The script is fantastic, and it is if you look at it in Korean with subtitles. For the love of everything, does not look at it with English dubbing, it is bad and it is far from being so effective and feels unnatural for performance. There is a good humor and the drama is mounted on Ten Fold, the chemistry between the performers is really good and you pushes you to continue to look.
 
 The show is really brutal, the violence is graphic but seems appropriate for the show as a whole. It is beautifully turned and feels epic in scale. The pace is effective and you will want to move this show for sure with each episode feeling different and great in the way.
 
 Overall, Squid Game is a truly fantastic show that was so close to getting my 10/10 score. It is an essential watch and do not let the linguistic barrier deactivate you and start with this as soon as possible."
