,News
432,72
3071,381
289,3
2588,532
4121,33
4489,154
535,388
1479,3675
188,167
3573,146
2067,125
2304,3
279,7
366,178
4030,9
896,3
4582,14
270,239
889,106
1503,576
4557,559
2757,170
2277,6
4328,394
1593,2
3880,61
111,9
3953,622
367,7
4729,870
4241,4349
220,21
1020,5196
627,125
1074,5296
2222,146
3184,3
2303,4005
790,1522
4594,14
461,292
4267,17
2031,14
551,480
3196,3
1654,49
4696,9
2846,597
198,6
2460,934
4110,6
402,3138
2850,4119
4048,8450
3209,3
4621,6
4278,491
4424,2347
4327,287
650,343
708,4874
3000,445
4279,292
2555,251
3816,222
314,224
2287,343
113,9
960,14
4538,505
3153,441
4845,7
3252,6
4084,150
2373,6
3238,1450
4392,2017
1647,737
3316,1401
2282,104
3822,323
3066,179
4215,343
2860,400
3091,38
4628,7
1204,234
2715,131
3726,10
3464,0
1480,5818
789,12
4270,78
1872,1775
1362,3
871,7
1543,145
2242,531
73,74
1592,178
1292,355
1221,6
3976,736
1755,422
4438,465
3607,8094
2423,215
3377,34
2456,6
494,179
3629,1033
4437,1477
1149,170
4372,3004
3721,412
1361,3
2072,1471
3273,54
618,470
4830,65
2989,119
3899,208
3827,280
3758,1245
4615,9139
869,33
2584,106
1042,275
4305,150
356,14
2628,682
4082,1320
3181,43
3096,1693
3364,25
4013,146
4183,2627
4307,464
332,6
4713,1439
2968,7510
3477,677
4739,1514
3764,53
3372,45
2348,109
3098,296
1253,3565
445,4654
2135,149
452,32
1413,2243
2801,7322
14,631
4520,218
945,146
1965,6561
3053,4126
360,10
4516,9025
3606,12
2189,6760
4384,8860
3007,723
1588,5963
3959,2359
4481,116
4736,9
2707,397
490,6
862,343
1820,2039
2623,84
1699,47
2328,125
4725,259
506,106
3485,53
2984,369
4824,74
1113,1061
1726,283
4778,694
2638,1061
433,107
3243,2976
4369,6
2692,132
3617,1154
2856,768
3262,12
4118,1199
2767,2165
1102,897
2699,597
3638,844
156,1508
4638,306
4649,6
4034,14
643,6
2810,74
1068,775
3116,7684
2512,280
4111,3023
1618,3
330,870
1330,3599
4239,1721
2092,648
622,3264
4617,65
4732,12
2753,187
4301,53
2157,9
2575,725
755,154
518,76
3601,487
32,1196
2787,611
1157,42
744,22
1924,183
2347,346
1926,719
2589,1467
783,106
1610,64
2992,625
229,343
857,874
3158,106
408,3
170,14
540,4731
2100,6
2580,334
2440,146
3331,90
4229,2848
2598,3
4524,1720
1161,385
1873,6372
4843,14
3182,3
4834,1709
2875,765
2091,758
564,178
3813,32
4119,8492
3463,224
1721,6116
1272,1232
3296,17
4310,400
3972,803
2364,6902
3144,940
1172,1871
3975,3247
325,146
1051,16
3189,3
3126,394
2705,7211
3742,2334
1196,405
620,113
4385,265
2732,7241
1189,215
328,167
648,111
897,3
1338,601
1123,164
1714,314
4503,239
3980,2791
4801,14
2646,978
4501,3
1942,480
1023,1090
1784,445
3409,2177
1270,5524
2302,1670
809,6
978,3
3821,458
4622,772
1532,5898
4596,12
1840,3829
4189,6
1360,3
2820,1125
4293,355
174,14
4735,3
1774,281
1351,53
4326,394
217,77
3707,14
3525,159
690,6
4038,14
2123,480
4227,607
1106,5338
1391,346
4460,765
1392,2762
3662,1130
3076,1522
4133,574
576,1259
1878,2779
4300,125
1180,179
888,5054
4415,14
4542,6
4439,24
817,42
3109,2
208,1340
293,550
1119,429
2103,6
1921,6
1264,348
990,61
4549,4239
1375,574
353,646
4701,14
3082,7651
2886,2968
2547,119
2892,35
1228,1362
259,61
2497,304
1615,3
4754,14
2829,172
2417,172
52,1493
1874,43
1672,1548
2086,370
3869,17
2648,447
2228,12
1033,875
1097,2660
543,863
4078,948
1717,2178
1433,249
30,1490
725,421
2316,2289
1941,132
4693,9
4196,5
436,720
2351,6
912,410
4095,865
3998,12
4377,306
3161,98
2173,14
4627,239
1238,5491
903,12
3491,135
4231,201
507,4711
4198,772
183,758
1425,3646
4616,805
321,802
1614,3
4441,1742
1617,3
4148,107
4193,487
4302,111
1146,6
3074,7644
44,7
2478,1477
3753,629
2142,1543
3917,34
413,610
3667,852
4450,1964
801,125
1288,3582
2131,5
2323,1129
4074,8455
4657,6
256,14
1630,366
2955,1426
1151,42
2187,2327
647,111
3576,197
2484,320
1705,9
3567,57
1315,350
4098,33
1780,27
2346,444
2059,3
2374,6
112,9
3784,1008
263,4536
1393,673
1702,6
1186,172
2236,359
56,35
1309,797
695,345
1777,567
1569,25
1623,32
1578,863
2842,215
2172,14
682,10
4620,6
3049,458
2619,817
4600,584
3543,671
286,402
3143,940
2297,1786
2457,6
3542,4247
3319,47
3985,106
1912,335
736,1576
2499,7041
336,27
2267,166
2634,1107
4291,3950
4269,38
1071,350
2312,732
3560,2965
2177,239
3941,60
3910,170
3718,730
3194,3
498,55
4213,16
4806,617
3919,34
3844,1233
4150,8536
2881,76
2292,14
4642,14
2164,9
1839,1430
1022,2167
2168,1
4738,9166
3414,148
2111,573
1822,451
665,893
3725,239
2505,540
1017,42
4442,3297
2295,10
1207,3472
3588,6
2005,298
4665,592
245,14
1163,451
266,189
2342,385
1114,77
63,32
2463,232
3967,66
2622,84
2855,820
3022,2985
2133,1081
3955,2880
2422,6965
1876,2867
2378,718
1237,5484
103,51
2510,287
3434,2425
508,18
4161,6
4781,880
1505,113
865,287
4309,3988
908,1790
4808,3805
3689,295
2726,6
835,6
358,14
