,Class
432,neutral
3071,neutral
289,positive
2588,neutral
4121,neutral
4489,positive
535,positive
1479,positive
188,positive
3573,neutral
2067,positive
2304,positive
279,positive
366,positive
4030,neutral
896,positive
4582,neutral
270,positive
889,positive
1503,neutral
4557,negative
2757,neutral
2277,positive
4328,negative
1593,neutral
3880,neutral
111,positive
3953,neutral
367,positive
4729,negative
4241,neutral
220,positive
1020,neutral
627,positive
1074,neutral
2222,neutral
3184,neutral
2303,positive
790,positive
4594,negative
461,positive
4267,neutral
2031,neutral
551,positive
3196,neutral
1654,positive
4696,negative
2846,neutral
198,positive
2460,neutral
4110,neutral
402,positive
2850,neutral
4048,negative
3209,neutral
4621,negative
4278,neutral
4424,negative
4327,negative
650,positive
708,neutral
3000,positive
4279,neutral
2555,neutral
3816,neutral
314,positive
2287,positive
113,positive
960,positive
4538,negative
3153,neutral
4845,negative
3252,neutral
4084,neutral
2373,neutral
3238,neutral
4392,negative
1647,neutral
3316,neutral
2282,positive
3822,neutral
3066,neutral
4215,negative
2860,neutral
3091,neutral
4628,neutral
1204,neutral
2715,neutral
3726,neutral
3464,neutral
1480,neutral
789,neutral
4270,neutral
1872,neutral
1362,neutral
871,positive
1543,neutral
2242,neutral
73,neutral
1592,neutral
1292,neutral
1221,neutral
3976,neutral
1755,positive
4438,negative
3607,neutral
2423,neutral
3377,neutral
2456,positive
494,neutral
3629,neutral
4437,negative
1149,neutral
4372,negative
3721,neutral
1361,neutral
2072,positive
3273,neutral
618,positive
4830,negative
2989,neutral
3899,neutral
3827,neutral
3758,neutral
4615,neutral
869,neutral
2584,neutral
1042,neutral
4305,neutral
356,positive
2628,neutral
4082,positive
3181,neutral
3096,neutral
3364,neutral
4013,negative
4183,neutral
4307,neutral
332,positive
4713,negative
2968,neutral
3477,neutral
4739,negative
3764,neutral
3372,neutral
2348,neutral
3098,neutral
1253,positive
445,neutral
2135,neutral
452,neutral
1413,neutral
2801,neutral
14,positive
4520,neutral
945,positive
1965,negative
3053,neutral
360,positive
4516,neutral
3606,neutral
2189,neutral
4384,negative
3007,neutral
1588,positive
3959,neutral
4481,positive
4736,negative
2707,neutral
490,neutral
862,positive
1820,neutral
2623,neutral
1699,neutral
2328,neutral
4725,negative
506,neutral
3485,neutral
2984,neutral
4824,negative
1113,neutral
1726,positive
4778,neutral
2638,neutral
433,positive
3243,neutral
4369,negative
2692,neutral
3617,neutral
2856,neutral
3262,neutral
4118,neutral
2767,neutral
1102,neutral
2699,neutral
3638,positive
156,positive
4638,negative
4649,negative
4034,negative
643,positive
2810,negative
1068,neutral
3116,neutral
2512,neutral
4111,neutral
1618,positive
330,positive
1330,neutral
4239,neutral
2092,positive
622,neutral
4617,negative
4732,negative
2753,neutral
4301,neutral
2157,positive
2575,neutral
755,positive
518,positive
3601,neutral
32,positive
2787,neutral
1157,negative
744,positive
1924,neutral
2347,neutral
1926,positive
2589,neutral
783,positive
1610,neutral
2992,positive
229,positive
857,positive
3158,neutral
408,positive
170,positive
540,neutral
2100,positive
2580,neutral
2440,neutral
3331,neutral
4229,neutral
2598,neutral
4524,negative
1161,neutral
1873,neutral
4843,negative
3182,neutral
4834,negative
2875,neutral
2091,positive
564,positive
3813,neutral
4119,neutral
3463,neutral
1721,positive
1272,neutral
3296,neutral
4310,neutral
3972,neutral
2364,neutral
3144,neutral
1172,positive
3975,neutral
325,positive
1051,positive
3189,neutral
3126,neutral
2705,neutral
3742,positive
1196,neutral
620,positive
4385,negative
2732,neutral
1189,neutral
328,positive
648,positive
897,positive
1338,neutral
1123,positive
1714,negative
4503,positive
3980,neutral
4801,negative
2646,negative
4501,positive
1942,neutral
1023,neutral
1784,positive
3409,neutral
1270,positive
2302,positive
809,positive
978,neutral
3821,neutral
4622,negative
1532,neutral
4596,negative
1840,neutral
4189,neutral
1360,neutral
2820,neutral
4293,positive
174,positive
4735,negative
1774,positive
1351,neutral
4326,negative
217,positive
3707,neutral
3525,neutral
690,positive
4038,negative
2123,neutral
4227,neutral
1106,neutral
1391,neutral
4460,positive
1392,neutral
3662,neutral
3076,neutral
4133,neutral
576,neutral
1878,positive
4300,neutral
1180,neutral
888,positive
4415,neutral
4542,neutral
4439,negative
817,positive
3109,neutral
208,positive
293,positive
1119,neutral
2103,neutral
1921,negative
1264,neutral
990,positive
4549,negative
1375,positive
353,positive
4701,negative
3082,neutral
2886,neutral
2547,neutral
2892,neutral
1228,positive
259,positive
2497,neutral
1615,neutral
4754,negative
2829,neutral
2417,neutral
52,positive
1874,neutral
1672,neutral
2086,neutral
3869,neutral
2648,neutral
2228,neutral
1033,neutral
1097,neutral
543,negative
4078,negative
1717,positive
1433,neutral
30,positive
725,positive
2316,positive
1941,positive
4693,negative
4196,negative
436,neutral
2351,neutral
912,positive
4095,positive
3998,neutral
4377,negative
3161,neutral
2173,positive
4627,neutral
1238,positive
903,positive
3491,negative
4231,neutral
507,neutral
4198,neutral
183,positive
1425,neutral
4616,negative
321,positive
1614,neutral
4441,negative
1617,neutral
4148,neutral
4193,neutral
4302,neutral
1146,positive
3074,neutral
44,positive
2478,neutral
3753,neutral
2142,positive
3917,neutral
413,neutral
3667,neutral
4450,negative
801,positive
1288,neutral
2131,positive
2323,neutral
4074,negative
4657,negative
256,positive
1630,neutral
2955,neutral
1151,neutral
2187,positive
647,positive
3576,neutral
2484,neutral
1705,negative
3567,neutral
1315,positive
4098,positive
1780,positive
2346,neutral
2059,positive
