,Review
965,2
298,26
711,764
654,1330
275,1937
599,848
43,8
471,38
1081,2
342,1246
135,894
557,166
78,768
1128,818
184,78
743,2
178,2
700,302
247,27
735,2
1069,568
631,22
1180,32
433,26
923,26
889,8
622,32
991,8
866,2
39,26
30,27
242,403
415,8
136,2
953,27
409,21
3,2
442,21
591,353
1019,13
826,127
801,721
676,1509
428,26
354,2
1171,2
493,21
100,181
677,27
479,1148
581,975
790,374
1157,8
994,1911
1178,345
227,32
818,32
514,464
626,12
363,166
66,255
67,1247
967,1171
211,158
12,8
478,89
634,2
299,82
435,89
741,2
1061,90
754,8
529,787
481,8
405,8
1073,21
430,8
1106,26
898,80
427,336
273,526
1072,2
237,334
716,27
2,26
6,1776
311,115
1010,82
1177,8
908,237
215,26
358,2
27,2
1143,2633
838,2
865,1345
765,432
553,26
438,334
720,2
548,848
1037,14
837,422
256,82
291,32
25,374
336,407
673,110
47,2
318,21
106,8
55,25
545,27
213,991
120,1436
551,26
918,2
1136,8
72,27
593,407
732,1068
829,2
552,8
872,374
1172,158
541,78
728,82
411,62
731,52
1009,8
904,1651
316,273
890,32
811,121
649,158
671,82
413,8
535,3530
60,758
1046,8
92,26
839,26
381,2
351,864
933,158
280,2
538,8
359,208
536,2
605,26
462,26
712,78
182,2
630,336
950,26
110,56
370,353
239,26
695,2
618,7142
582,34
542,374
1049,166
261,16
614,1169
757,1169
339,1726
783,12
1059,422
850,155
183,26
137,8
1146,308
693,343
992,2
80,26
937,1765
1141,8
746,32
29,27
422,2
165,66
248,467
307,26
346,6039
334,126
285,2
930,26
597,17
849,26
1024,236
893,2
590,2
668,25
602,2
785,419
675,2066
65,121
1047,8
938,8238
1055,115
1070,2
1085,26
302,2
254,26
939,21
912,121
312,176
519,353
221,2
388,2
235,2
793,991
467,864
859,1754
305,336
1097,354
486,2533
756,2
1139,16
1125,2
249,21
868,2
583,6998
71,864
94,264
534,36
33,78
842,16
567,27
448,71
445,2
259,443
204,2
561,26
807,2
1084,41
365,78
825,768
77,8
84,26
528,595
82,57
457,59
1124,8
771,66
789,97
723,23
436,2
543,59
539,144
621,26
350,723
196,158
464,26
1057,2
5,2
310,8
404,26
1032,16
636,26
104,2
97,2965
1170,225
526,99
816,8
916,26
314,2
598,26
594,66
62,287
281,26
1031,519
266,16
650,2
238,26
223,2500
145,89
1105,16
373,138
118,4
786,26
250,8
1142,21
9,115
449,635
1033,345
389,66
613,353
460,20
1054,21
144,8
501,16
1094,177
177,8
1144,66
845,2
572,26
1179,2
7,302
903,47
824,26
357,286
329,2
796,26
813,17
258,2
986,32
760,8
589,8
812,166
525,26
1068,281
1150,2
736,172
1127,179
440,467
531,33
940,168
228,2
1077,256
212,5356
79,854
148,1390
1163,115
694,2
578,26
133,2
1131,514
408,34
660,22
507,2
857,2
504,26
806,737
347,960
386,26
0,11
360,26
1120,1228
475,2
762,545
738,2
172,78
450,644
125,353
948,354
530,90
90,82
1147,27
181,236
1103,301
979,158
251,255
69,78
131,407
300,8
657,59
326,26
998,27
499,32
814,2
899,768
495,248
338,88
944,32
164,1539
28,179
516,32
193,768
764,308
169,921
768,13
173,26
518,2
900,884
688,2601
491,21
73,2
961,32
587,2
234,5503
214,66
927,644
132,8
926,26
921,276
185,26
41,8
108,545
830,754
568,2
1148,11
980,2
1140,2
483,2
468,148
24,33
1045,16
667,2
737,2457
974,66
366,82
822,67
1040,26
383,2
454,397
264,78
745,172
1080,26
444,59
395,21
727,881
176,2457
18,2
692,65
798,27
595,7064
61,166
272,107
1112,93
278,618
823,236
368,26
867,89
803,354
841,26
707,8
827,8
547,252
934,8
970,1502
456,604
393,8
892,47
1018,66
375,21
412,677
74,125
1108,121
843,59
500,166
1022,148
616,684
114,238
417,545
601,116
604,59
89,26
1134,8
498,26
1162,47
1175,66
861,396
11,140
396,8
739,78
555,32
42,26
167,21
416,90
576,26
267,158
844,2
426,32
690,32
544,24
1109,27
674,1658
689,32
1042,204
1161,1646
999,158
864,301
257,26
335,78
15,66
907,8
324,2
607,158
1041,1521
774,419
222,8
179,2
99,23
521,2
22,635
356,168
941,864
1098,2
611,848
988,41
340,2
431,6382
767,864
217,21
203,407
886,768
93,20
781,32
68,2
875,82
284,32
696,26
85,78
434,8
780,26
153,32
75,550
1030,26
580,66
446,2
703,21
188,2
271,2
236,26
487,2
1145,21
559,8
117,540
637,2
1063,533
750,353
512,26
633,32
1006,8
985,545
834,26
126,2
116,208
473,26
740,115
973,27
57,8
603,545
1039,27
656,7319
1182,807
902,26
105,208
635,181
369,545
268,2
655,8
46,545
349,26
773,2
195,2
102,2
4,2
619,115
971,1258
52,14
263,2
1079,65
443,393
983,2
782,1066
885,158
691,457
304,109
341,140
847,130
313,131
149,4923
124,158
1050,26
574,88
697,8
664,2
50,2
726,8
799,2
353,90
1138,11
142,26
470,353
653,21
399,2
888,1645
968,2
320,1726
19,363
684,2
35,195
505,6712
