,Class
3207,neutral
1684,neutral
1044,neutral
4145,neutral
1538,neutral
1034,neutral
2107,positive
4257,neutral
4021,neutral
3569,neutral
2570,neutral
1756,positive
2337,neutral
3395,neutral
3188,neutral
472,neutral
1629,neutral
1803,neutral
491,neutral
4607,negative
4375,negative
4135,neutral
8,positive
2986,neutral
2630,neutral
4472,positive
3516,neutral
633,neutral
1144,neutral
4340,negative
501,neutral
1497,neutral
787,neutral
4699,negative
3759,neutral
555,positive
4745,negative
2098,neutral
1519,neutral
2644,negative
584,positive
1115,neutral
3513,neutral
2117,neutral
23,positive
2380,negative
1323,positive
2115,neutral
287,positive
2186,neutral
3475,neutral
1612,neutral
705,positive
4579,negative
1032,neutral
691,positive
4483,neutral
3299,neutral
533,neutral
3612,neutral
387,positive
994,positive
4535,negative
1175,neutral
538,positive
3965,neutral
881,positive
2034,positive
3552,neutral
3471,neutral
1084,neutral
100,positive
2093,neutral
2178,neutral
1773,positive
478,neutral
1971,neutral
2818,neutral
3429,neutral
33,positive
2642,neutral
4532,negative
179,positive
4004,negative
199,positive
937,positive
3678,neutral
227,positive
624,neutral
350,positive
144,positive
3814,neutral
3835,negative
3587,neutral
4544,neutral
2210,neutral
3500,neutral
3036,neutral
3014,positive
4149,neutral
3598,neutral
2602,neutral
2677,neutral
3398,neutral
3382,neutral
1024,neutral
3619,neutral
1220,positive
4583,neutral
4308,negative
3322,neutral
626,positive
4656,negative
2877,neutral
79,positive
553,positive
1244,neutral
296,positive
653,positive
354,neutral
931,positive
1589,neutral
3347,neutral
3431,neutral
3504,neutral
1738,positive
544,negative
2577,neutral
315,positive
4128,neutral
4398,negative
598,positive
4523,neutral
2664,neutral
720,positive
3333,neutral
65,positive
4077,negative
1261,positive
3083,neutral
4210,neutral
2654,neutral
4071,negative
2127,positive
2837,neutral
3418,neutral
1694,neutral
3075,neutral
2299,positive
4170,neutral
1897,neutral
426,positive
1174,neutral
2104,positive
3135,neutral
3341,neutral
1504,neutral
2095,positive
677,negative
4737,negative
149,positive
802,positive
2535,neutral
4774,positive
2867,neutral
561,positive
1558,neutral
3944,negative
2771,neutral
4552,neutral
2974,neutral
248,positive
2655,neutral
2954,positive
1752,positive
4842,neutral
416,neutral
468,neutral
2696,neutral
764,positive
1765,positive
230,positive
2763,neutral
132,positive
3949,neutral
681,negative
1135,positive
4044,negative
2447,neutral
3747,neutral
1397,neutral
3983,neutral
718,positive
1566,neutral
3048,neutral
228,positive
4318,neutral
3705,neutral
2742,neutral
3492,positive
1305,neutral
2445,neutral
2305,positive
4558,negative
4367,neutral
807,positive
3501,neutral
2063,neutral
944,positive
2651,neutral
1891,neutral
1485,neutral
1025,neutral
2980,neutral
2280,positive
2331,neutral
1556,neutral
683,negative
926,positive
4234,neutral
1183,neutral
621,neutral
1541,neutral
3433,neutral
414,neutral
2370,neutral
3416,neutral
157,positive
2486,neutral
4197,neutral
2509,neutral
1946,positive
1767,positive
3017,positive
3305,neutral
12,positive
1972,positive
1945,positive
2517,neutral
2078,positive
3344,neutral
3908,neutral
2887,neutral
733,negative
290,positive
297,positive
90,positive
3509,neutral
3720,neutral
1842,positive
3661,neutral
2889,neutral
26,positive
2314,positive
1421,neutral
4344,neutral
2520,neutral
1488,neutral
2080,neutral
1534,neutral
1862,neutral
254,positive
2503,neutral
589,positive
4180,negative
2387,neutral
4039,negative
2476,neutral
3846,neutral
1129,positive
3733,neutral
1513,neutral
4035,negative
69,neutral
1158,neutral
577,positive
3810,neutral
2722,neutral
3257,neutral
1027,neutral
3834,neutral
927,positive
3089,neutral
4062,negative
2057,neutral
3704,neutral
109,positive
2843,neutral
3039,negative
1557,neutral
4455,positive
2213,neutral
657,positive
4006,negative
676,negative
1340,neutral
2543,neutral
3699,neutral
486,positive
2221,positive
177,positive
2743,negative
3716,neutral
4125,negative
3937,neutral
3392,neutral
1052,neutral
751,positive
1907,neutral
93,positive
1666,positive
670,negative
3761,neutral
2416,neutral
1260,neutral
4339,neutral
3478,neutral
2910,neutral
4299,negative
1553,neutral
4839,negative
4103,neutral
2181,positive
1407,neutral
1786,positive
3121,neutral
3453,neutral
465,neutral
1864,positive
2389,neutral
471,neutral
1813,positive
3808,positive
43,positive
838,positive
2021,neutral
1293,neutral
964,positive
3692,neutral
3164,neutral
2746,neutral
4222,neutral
1539,neutral
393,neutral
3515,neutral
429,positive
4126,negative
2211,positive
4829,negative
3982,neutral
485,positive
2436,neutral
1469,positive
2481,neutral
2227,neutral
1564,neutral
106,positive
2776,neutral
4720,negative
2259,neutral
4575,positive
1344,neutral
1417,neutral
3401,neutral
810,positive
642,positive
3872,neutral
3885,neutral
1833,neutral
322,positive
373,positive
497,positive
3940,neutral
1001,neutral
4427,negative
4473,positive
2526,neutral
1108,neutral
731,negative
2011,neutral
1886,neutral
1586,neutral
4655,negative
3102,neutral
219,positive
3233,neutral
291,positive
4080,positive
1181,neutral
505,positive
1406,neutral
4822,positive
3893,neutral
135,positive
4275,neutral
4040,negative
1936,positive
1434,positive
4534,positive
1793,positive
2925,neutral
29,positive
1038,neutral
4812,neutral
4815,negative
4022,negative
763,positive
4639,negative
3145,neutral
1018,neutral
2815,neutral
3924,neutral
3407,positive
812,positive
2672,neutral
4730,negative
2099,positive
2432,neutral
4507,neutral
596,positive
1964,neutral
907,neutral
2759,neutral
4676,negative
4771,negative
2119,positive
4641,negative
3134,negative
742,positive
3630,positive
599,positive
252,positive
4547,neutral
1055,neutral
1438,neutral
1583,neutral
61,neutral
240,positive
4588,negative
1322,positive
1691,positive
1789,positive
2640,neutral
2594,neutral
1522,neutral
1061,neutral
877,positive
4049,negative
70,positive
3172,neutral
1258,neutral
2945,neutral
3711,neutral
1978,neutral
3978,neutral
4246,neutral
4404,negative
1606,neutral
3496,neutral
47,positive
1491,positive
1268,neutral
3950,neutral
1073,neutral
2587,neutral
3528,neutral
4571,neutral
4444,negative
3878,neutral
4700,negative
2036,positive
1192,neutral
4130,neutral
1902,neutral
3550,neutral
1168,neutral
856,positive
1101,neutral
2944,neutral
841,positive
3253,neutral
586,positive
3127,neutral
151,positive
1870,neutral
2873,neutral
2665,neutral
3801,neutral
1743,positive
1170,neutral
2016,neutral
1514,neutral
3240,neutral
2521,neutral
3173,neutral
3412,neutral
3150,neutral
233,neutral
2780,neutral
2698,neutral
3650,neutral
4429,negative
1983,neutral
2916,neutral
1545,neutral
1010,neutral
2473,neutral
530,neutral
415,negative
1412,neutral
3061,neutral
1501,neutral
1747,positive
3585,neutral
17,positive
2688,neutral
759,positive
2045,neutral
2088,positive
1371,neutral
1448,positive
371,positive
238,positive
3225,negative
1200,neutral
1295,neutral
969,positive
842,positive
3002,neutral
3875,neutral
3285,neutral
2943,neutral
721,positive
2615,neutral
3706,neutral
4260,negative
4780,positive
3657,neutral
3679,neutral
3085,neutral
2450,neutral
1770,neutral
3442,neutral
833,positive
4258,neutral
3402,neutral
51,positive
602,positive
4428,negative
3804,neutral
534,neutral
3590,negative
2407,neutral
443,neutral
3728,neutral
4085,positive
4747,negative
1242,neutral
1483,neutral
4317,neutral
3133,neutral
3137,neutral
4393,negative
4652,negative
4342,neutral
120,positive
1477,positive
1321,neutral
4740,negative
1345,neutral
134,positive
2341,negative
1769,positive
4221,neutral
4124,neutral
2804,neutral
511,neutral
3842,neutral
4653,negative
2536,neutral
3519,neutral
805,positive
251,positive
3779,neutral
1703,positive
122,positive
1554,positive
4304,neutral
3805,neutral
1075,positive
567,positive
3024,positive
1047,neutral
2218,neutral
811,positive
3006,neutral
1041,neutral
2576,neutral
4024,negative
1335,neutral
2727,neutral
3279,neutral
318,positive
3524,neutral
3655,neutral
274,positive
2755,negative
3361,neutral
4019,negative
2784,neutral
605,positive
2649,neutral
911,positive
776,positive
2231,neutral
4487,neutral
4005,negative
4681,negative
3321,neutral
298,positive
4608,neutral
4684,negative
3388,neutral
915,neutral
3077,neutral
893,positive
2700,neutral
4280,neutral
2240,positive
3963,neutral
1627,neutral
1935,positive
4445,negative
1665,neutral
376,positive
3684,neutral
2053,positive
655,positive
3765,neutral
3213,neutral
3271,neutral
1456,neutral
1209,neutral
3609,neutral
1510,neutral
4504,positive
828,positive
3536,neutral
2550,neutral
3288,neutral
175,positive
4463,positive
1729,positive
45,positive
2617,neutral
2298,positive
4011,negative
949,positive
1370,neutral
977,positive
2019,positive
1718,positive
1526,neutral
2948,neutral
3703,neutral
4028,negative
3653,neutral
1432,neutral
3439,neutral
4139,neutral
3226,neutral
1896,neutral
1634,neutral
2426,neutral
2924,positive
3309,neutral
1487,neutral
2949,neutral
756,positive
4422,negative
2170,positive
3782,neutral
2488,neutral
1436,neutral
3050,neutral
4533,negative
1918,neutral
351,positive
3942,neutral
1779,positive
2596,neutral
4766,negative
308,positive
4578,neutral
2714,neutral
3648,neutral
1905,positive
746,positive
3563,neutral
2415,neutral
999,positive
19,positive
4521,neutral
2515,neutral
734,negative
2307,neutral
4388,negative
438,positive
2684,neutral
794,positive
3836,neutral
3256,neutral
4510,neutral
1090,neutral
3754,neutral
2841,neutral
2118,neutral
1739,positive
582,neutral
203,positive
3831,neutral
2138,positive
2073,positive
1426,positive
1444,neutral
1720,positive
765,neutral
1164,neutral
2004,positive
3179,neutral
517,positive
3313,neutral
1210,neutral
4104,neutral
668,positive
1632,neutral
3700,neutral
4762,negative
2441,neutral
1128,positive
1116,neutral
3027,neutral
3658,neutral
1162,neutral
1954,positive
879,positive
4695,negative
3034,neutral
2266,positive
214,positive
3162,neutral
2567,neutral
693,negative
1600,neutral
3866,neutral
1973,neutral
2603,neutral
1598,neutral
2167,neutral
4250,neutral
196,positive
1255,neutral
3787,neutral
2195,neutral
1650,neutral
1730,positive
3864,neutral
1533,neutral
3094,neutral
68,positive
568,positive
1482,positive
96,positive
1281,neutral
139,neutral
2840,neutral
3101,neutral
1222,positive
2406,neutral
1187,positive
3622,negative
4371,negative
463,positive
4348,neutral
1117,neutral
1788,positive
594,positive
4247,neutral
625,positive
450,positive
2284,positive
1844,neutral
2354,neutral
859,positive
1374,neutral
3438,neutral
1846,neutral
150,positive
4630,negative
831,positive
3393,neutral
4230,neutral
1859,neutral
457,positive
3381,neutral
3103,neutral
3063,neutral
2728,neutral
4765,negative
239,positive
4541,positive
2002,positive
3396,neutral
2951,negative
4343,negative
192,positive
3545,neutral
3639,neutral
2025,neutral
1812,neutral
2519,neutral
1744,positive
4147,neutral
4584,negative
800,positive
2985,neutral
4046,positive
1231,neutral
2710,neutral
2528,neutral
1536,neutral
3740,neutral
4779,neutral
3555,neutral
99,positive
1095,neutral
3231,neutral
4767,negative
191,positive
3058,neutral
3841,neutral
1609,neutral
4805,neutral
2574,neutral
4629,negative
1988,positive
1378,neutral
3129,positive
3634,neutral
3443,neutral
1551,neutral
4759,negative
3062,neutral
1616,neutral
1837,neutral
1049,neutral
1881,positive
3862,neutral
4094,positive
4405,negative
1877,neutral
1995,positive
166,positive
4512,neutral
1451,neutral
2344,positive
4416,negative
422,neutral
95,positive
2369,neutral
1197,neutral
3824,neutral
2330,neutral
4169,neutral
80,neutral
803,positive
1657,neutral
1173,neutral
1952,positive
2264,positive
4777,neutral
3113,neutral
4289,negative
3710,neutral
152,positive
1212,neutral
2409,neutral
1103,neutral
1728,positive
4590,negative
2402,neutral
2702,neutral
1057,positive
1420,neutral
1029,neutral
3320,neutral
2796,neutral
4677,negative
4536,positive
1427,positive
31,positive
1662,neutral
798,positive
2110,positive
2146,positive
2145,positive
1489,neutral
309,neutral
3497,neutral
1419,neutral
3632,neutral
527,positive
3882,neutral
1056,neutral
1094,neutral
4072,negative
378,positive
495,positive
4254,neutral
184,positive
205,positive
410,neutral
996,positive
2540,neutral
3185,neutral
2775,neutral
3922,neutral
305,positive
3289,negative
1746,neutral
2470,neutral
168,positive
3592,neutral
1620,neutral
1437,neutral
3340,negative
843,positive
3938,neutral
2998,neutral
4710,negative
3015,positive
2309,positive
211,positive
3887,neutral
84,positive
1871,neutral
2153,positive
3520,neutral
679,negative
3859,neutral
3458,neutral
2254,neutral
1235,neutral
565,positive
3422,neutral
4154,negative
4153,neutral
4666,negative
680,negative
829,positive
2686,neutral
2527,neutral
4809,neutral
2201,neutral
4144,neutral
3691,neutral
1507,neutral
1126,neutral
180,positive
1215,neutral
