,Review
319,"['Everyone', 'gave', 'best', 'VIPSGreat', 'series', 'watch', 'Hats', 'director', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
956,"['Interesting', 'original', 'dramatic', 'acting', 'I', 'personally', 'dont', 'like', 'That', 'better', 'south', 'korean', 'show', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
1181,"['Its', 'version', 'story', 'movie', 'weve', 'seen', 'million', 'time', 'Nothing', 'groundbreaking', 'good', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
86,"['I', 'watched', 'Episode', 'advice', 'seen', 'entire', 'series', 'absolutely', 'right', 'I', 'captured', 'right', 'away', 'The', 'series', 'filled', 'twist', 'turn', 'head', 'spinning', 'mind', 'guessing', 'Beware', 'cause', 'violence', 'series', 'story', 'humanity', 'caring', 'character', 'time', 'despise', 'Keep', 'eye', 'subtle', 'clue', 'precede', 'future', 'event', 'You', 'probably', 'wont', 'cleverly', 'thrown', 'The', 'best', 'thing', 'series', 'acting', 'My', 'mouth', 'fell', 'open', 'quality', 'performance', 'There', 'true', 'Emmy', 'Oscar', 'level', 'performance', 'One', 'best', 'series', 'Ive', 'watched', 'long', 'time', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
990,"['I', 'watched', 'couple', 'Netflix', 'show', 'like', 'Umbrella', 'Academy', 'Stranger', 'Things', 'Lupin', 'La', 'Casa', 'De', 'PapelBut', 'far', 'bestI', 'heard', 'various', 'page', 'social', 'medium', 'couple', 'friend', 'I', 'thought', 'let', 'tryAfter', 'episode', 'I', 'love', 'The', 'bingeworthyAnd', 'man', 'great', 'I', 'hope', 'ending', 'season', 'come', 'soon', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
458,"['It', 'completely', 'unfair', 'rate', 'actor', 'watch', 'English', 'dub', 'lot', 'lost', 'translation', 'This', 'best', 'drama', 'series', 'available', 'I', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
1035,"['Its', 'good', 'watch', 'ending', 'absurdit', 'wont', 'reach', 'conclusionoverall', 'time', 'watch', 'character', 'background', 'story', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
946,"['Too', 'short', 'Need', 'Watched', 'episode', 'day', 'Could', 'stop', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
323,"['Honestly', 'wow', 'episode', 'I', 'sat', 'wide', 'mouthed', 'I', 'watching', 'I', 'didnt', 'careThis', 'series', 'amazing', 'brutal', 'watchSuddenly', 'dont', 'care', 'subtitle', 'pale', 'dont', 'matter', 'watching', 'reading', 'effortlesslyAn', 'amazing', 'series', 'thank', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
361,"['I', 'dont', 'know', 'say', 'series', 'perfection', 'Its', 'original', 'draw', 'chance', 'helpful', 'Was', 'review', 'helpful', 'Sign', 'vote', 'Permalink']"
