,Class
319,2
956,1
1181,8/10
86,2
990,2
458,2
1035,7/10
946,2
323,2
361,2
220,8/10
1052,2
1137,2
713,2
243,2
170,2
274,8/10
1089,2
858,2
665,2
996,2
265,2
733,0
199,8/10
704,2
296,2
367,2
881,1
168,0
344,0
447,2
58,7/10
670,7/10
331,2
947,2
23,8/10
833,7/10
477,0
290,2
425,2
942,2
846,2
977,8/10
1114,2
1132,2
49,8/10
549,8/10
984,2
70,2
588,1
128,1
874,2
260,2
158,2
208,2
113,0
1060,0
490,0
54,0
809,8/10
755,0
56,2
787,7/10
522,2
398,2
1149,0
759,0
1005,8/10
717,0
432,2
584,2
156,2
109,2
573,2
494,7/10
380,8/10
585,2
382,7/10
523,0
107,2
1008,0
497,7/10
558,2
81,2
277,8/10
905,2
362,2
575,2
1011,7/10
560,2
155,2
976,7/10
333,2
465,2
174,8/10
652,0
761,2
997,2
777,2
1122,8/10
101,7/10
644,2
679,7/10
894,2
969,7/10
44,8/10
429,2
730,2
922,7/10
233,2
852,2
1003,2
820,2
715,8/10
332,7/10
51,2
1176,7/10
1118,2
808,8/10
231,8/10
451,2
210,2
140,8/10
394,2
1090,2
615,2
1099,0
209,8/10
506,2
1066,2
306,1
513,7/10
917,2
198,2
910,7/10
289,8/10
570,2
376,2
914,2
978,2
218,8/10
453,2
629,0
163,2
884,2
682,8/10
527,7/10
1133,1
1062,0
96,8/10
802,2
31,2
244,2
1029,2
309,0
1151,7/10
617,2
294,2
439,0
423,0
88,8/10
1101,7/10
192,0
240,2
788,2
1027,8/10
286,2
327,2
482,2
1078,2
678,7/10
832,2
911,2
909,1
10,8/10
461,2
377,2
862,8/10
59,7/10
718,2
292,2
596,2
420,7/10
1154,2
1053,1
887,2
270,8/10
772,0
848,2
328,2
753,2
1110,7/10
424,1
1001,8/10
879,0
308,2
485,2
620,7/10
532,7/10
1015,2
666,2
925,2
1002,0
355,7/10
410,1
628,8/10
714,7/10
83,0
752,0
1107,2
706,7/10
129,7/10
876,2
566,7/10
390,7/10
371,8/10
722,2
554,2
643,8/10
855,7/10
321,7/10
76,8/10
721,2
138,8/10
701,7/10
661,2
901,2
63,7/10
141,2
533,8/10
708,7/10
352,2
139,2
1043,2
993,2
224,7/10
724,0
